ID,pred,exp
1107,-4.659662246704102,-4.610000133514404
1109,-6.529529094696045,-6.119999885559082
1110,-4.8291335105896,-4.730000019073486
1112,-6.572226524353027,-6.170000076293945
1113,-5.028555393218994,-5.820000171661377
1117,-4.940028190612793,-5.650000095367432
1118,-4.822641372680664,-5.349999904632568
1120,-5.226430892944336,-6.300000190734863
1121,-5.675312519073486,-6.199999809265137
1840,-5.4349799156188965,-4.480000019073486
1841,-5.961397647857666,-4.409999847412109
1842,-5.458139419555664,-4.400000095367432
1843,-6.024123668670654,-4.400000095367432
1844,-5.421639919281006,-5.099999904632568
1845,-5.960484981536865,-4.960000038146973
1846,-5.4343061447143555,-4.820000171661377
1847,-6.004680156707764,-4.739999771118164
