ID,pred,exp
33,-5.942882061004639,-5.480000019073486
40,-5.515990734100342,-6.440000057220459
41,-6.123011589050293,-7.050000190734863
926,-6.146498680114746,-8.0
927,-6.036388874053955,-6.400000095367432
1008,-5.481232643127441,-4.699999809265137
1009,-5.928569793701172,-5.690000057220459
1010,-5.894318580627441,-5.949999809265137
1011,-5.98140811920166,-6.260000228881836
1012,-5.94020938873291,-6.360000133514404
1013,-5.703521728515625,-6.420000076293945
1014,-5.698169231414795,-4.630000114440918
1015,-5.746147632598877,-5.670000076293945
1016,-5.700479507446289,-4.789999961853027
1885,-5.7589521408081055,-6.079999923706055
1886,-6.099746227264404,-5.800000190734863
1887,-5.497298240661621,-6.239999771118164
1888,-5.690011978149414,-6.960000038146973
1889,-5.412137985229492,-8.0
1890,-5.700638771057129,-6.179999828338623
1892,-5.318199157714844,-5.980000019073486
1893,-5.2256550788879395,-6.239999771118164
1894,-5.356051445007324,-5.71999979019165
1896,-6.373554706573486,-5.360000133514404
1897,-6.899993419647217,-5.590000152587891
1898,-6.167431831359863,-5.630000114440918
1899,-5.276071548461914,-5.409999847412109
1900,-5.329176902770996,-5.340000152587891
1901,-5.291073322296143,-5.420000076293945
1902,-5.296358108520508,-5.400000095367432
1903,-5.320103645324707,-5.579999923706055
1904,-5.157893657684326,-6.820000171661377
1905,-4.739583969116211,-7.150000095367432
1906,-4.647229194641113,-6.920000076293945
1907,-5.135531425476074,-6.849999904632568
1908,-4.576169490814209,-7.139999866485596
1909,-5.709292411804199,-7.0
1910,-4.816610336303711,-6.920000076293945
1911,-4.534058094024658,-6.920000076293945
1912,-4.610645294189453,-7.679999828338623
1913,-5.104673385620117,-8.0
1914,-5.844721794128418,-8.0
1915,-5.945091247558594,-7.03000020980835
1916,-4.619956970214844,-6.889999866485596
1917,-4.515852451324463,-7.0
1918,-5.289997100830078,-6.820000171661377
1919,-4.9743852615356445,-7.21999979019165
1920,-5.2239885330200195,-7.050000190734863
1921,-5.668827533721924,-7.21999979019165
1922,-5.344757556915283,-7.0
1923,-4.991761684417725,-6.849999904632568
1924,-5.097205638885498,-6.769999980926514
1925,-4.539212226867676,-6.960000038146973
1926,-4.726014137268066,-6.889999866485596
1927,-4.634546756744385,-5.960000038146973
1928,-4.755013465881348,-7.03000020980835
1929,-4.41312313079834,-7.599999904632568
1930,-4.401526927947998,-6.550000190734863
1931,-4.47166109085083,-6.440000057220459
1932,-5.007635593414307,-6.769999980926514
1933,-4.699431419372559,-6.059999942779541
1934,-4.499799728393555,-8.0
1935,-5.230396270751953,-6.539999961853027
1936,-4.933992385864258,-6.800000190734863
1937,-5.717151641845703,-6.960000038146973
1939,-4.361927032470703,-6.769999980926514
1940,-5.36039400100708,-6.659999847412109
1941,-5.470119476318359,-6.849999904632568
1942,-5.297924041748047,-6.25
1943,-4.29831600189209,-6.699999809265137
1944,-4.975447177886963,-6.800000190734863
1945,-4.981101036071777,-6.639999866485596
1946,-5.616289138793945,-6.0
1947,-4.28500509262085,-6.340000152587891
1948,-4.461792469024658,-6.360000133514404
1949,-5.294635772705078,-6.489999771118164
1950,-5.519326686859131,-6.349999904632568
1951,-5.351205825805664,-6.380000114440918
1952,-5.557791233062744,-6.889999866485596
1953,-5.2386794090271,-6.769999980926514
1954,-5.560138702392578,-6.800000190734863
1955,-4.733552932739258,-5.960000038146973
1956,-4.296390533447266,-5.960000038146973
1957,-4.9110493659973145,-5.510000228881836
1958,-5.031994342803955,-5.639999866485596
1959,-4.640698432922363,-5.590000152587891
1960,-4.87355899810791,-5.889999866485596
1961,-4.592490196228027,-5.800000190734863
1962,-5.02346658706665,-5.659999847412109
1963,-4.539841651916504,-5.590000152587891
1964,-5.123770713806152,-5.71999979019165
1965,-4.668499946594238,-5.599999904632568
1966,-5.017413139343262,-5.679999828338623
1967,-4.377252578735352,-5.539999961853027
1968,-4.757111072540283,-5.960000038146973
1969,-5.041399002075195,-5.679999828338623
1970,-4.575294494628906,-5.920000076293945
1971,-4.727965354919434,-5.769999980926514
1972,-4.612567901611328,-5.71999979019165
1973,-4.625856399536133,-5.960000038146973
1974,-4.855381488800049,-5.769999980926514
1975,-5.20483922958374,-5.769999980926514
1976,-4.926029205322266,-5.489999771118164
1977,-4.838630199432373,-5.920000076293945
1978,-4.219657897949219,-5.849999904632568
1979,-4.316632270812988,-5.849999904632568
1980,-4.687107086181641,-5.679999828338623
1981,-4.674429416656494,-5.539999961853027
1982,-4.350444793701172,-5.659999847412109
1983,-4.560232639312744,-5.849999904632568
1984,-4.560291290283203,-5.739999771118164
1985,-4.531831741333008,-5.46999979019165
1986,-4.598260879516602,-5.849999904632568
1987,-5.329859733581543,-5.920000076293945
1988,-5.343076229095459,-5.769999980926514
1989,-5.361984729766846,-5.800000190734863
1990,-4.730027198791504,-5.550000190734863
1991,-4.701163291931152,-5.489999771118164
1992,-5.136890411376953,-5.769999980926514
1993,-4.354058265686035,-5.639999866485596
1994,-4.328306674957275,-5.420000076293945
1995,-5.066722869873047,-5.800000190734863
1996,-5.060967445373535,-5.920000076293945
1997,-5.262118339538574,-5.960000038146973
1998,-4.581670761108398,-5.800000190734863
1999,-4.622620582580566,-5.889999866485596
2000,-4.519862174987793,-5.960000038146973
2001,-4.392999649047852,-5.920000076293945
2009,-4.390308856964111,-5.920000076293945
2019,-4.726873874664307,-5.28000020980835
2020,-4.351306915283203,-5.300000190734863
2021,-4.814402103424072,-5.400000095367432
2022,-4.603477478027344,-5.519999980926514
2024,-4.493865013122559,-5.590000152587891
2025,-4.885170936584473,-5.590000152587891
2027,-4.529458045959473,-5.679999828338623
2028,-4.883340835571289,-5.679999828338623
2029,-4.835574150085449,-5.699999809265137
2030,-4.260496139526367,-5.739999771118164
2031,-4.880905628204346,-5.739999771118164
2033,-4.698668003082275,-5.769999980926514
2034,-4.61484432220459,-5.769999980926514
2035,-4.5161309242248535,-5.800000190734863
2038,-4.887096405029297,-5.889999866485596
2039,-5.003808975219727,-5.920000076293945
2040,-4.748507022857666,-5.920000076293945
2041,-5.154575824737549,-5.920000076293945
2042,-4.509672164916992,-5.960000038146973
2044,-4.9451823234558105,-5.960000038146973
2045,-4.795966148376465,-5.960000038146973
2046,-4.615438938140869,-5.960000038146973
2049,-4.66082763671875,-6.0
2050,-4.61995267868042,-6.0
2051,-4.703984260559082,-6.170000076293945
2052,-5.262578010559082,-6.210000038146973
2053,-4.8563995361328125,-6.239999771118164
2054,-4.658397197723389,-6.389999866485596
2055,-4.941147327423096,-6.599999904632568
2056,-4.8322343826293945,-6.679999828338623
2057,-4.493271827697754,-6.71999979019165
2058,-4.72268009185791,-6.769999980926514
2059,-4.870599269866943,-6.820000171661377
2060,-5.054228782653809,-7.0
2061,-4.537130355834961,-7.019999980926514
2062,-4.757538318634033,-7.050000190734863
2063,-4.946475982666016,-7.059999942779541
2068,-5.237582683563232,-7.239999771118164
2069,-4.469747543334961,-7.349999904632568
2070,-4.781260013580322,-7.71999979019165
2071,-4.802302360534668,-7.849999904632568
2073,-4.528231620788574,-5.71999979019165
2074,-4.527376651763916,-5.769999980926514
2075,-4.989093780517578,-4.849999904632568
2076,-4.7872209548950195,-6.0
2077,-4.4001994132995605,-5.659999847412109
2078,-4.353768825531006,-5.639999866485596
2079,-4.530144691467285,-5.920000076293945
2080,-4.308726787567139,-5.539999961853027
2081,-4.682950973510742,-5.679999828338623
2082,-5.352965831756592,-5.960000038146973
2083,-4.353850364685059,-5.800000190734863
2084,-4.543898582458496,-5.590000152587891
2085,-4.548816204071045,-5.820000171661377
2086,-4.838393211364746,-5.599999904632568
2087,-4.398018836975098,-5.849999904632568
2088,-4.369225978851318,-5.769999980926514
2089,-4.956592559814453,-4.849999904632568
2090,-4.383401870727539,-5.739999771118164
2091,-4.87200927734375,-5.599999904632568
2092,-4.345531463623047,-5.659999847412109
2093,-4.621957302093506,-5.769999980926514
2094,-4.679949760437012,-5.889999866485596
2095,-4.485134124755859,-5.510000228881836
2096,-4.825822353363037,-5.639999866485596
2097,-4.4662041664123535,-5.480000019073486
2098,-4.530993938446045,-5.659999847412109
2099,-4.6864190101623535,-5.480000019073486
2100,-4.34344482421875,-5.510000228881836
2101,-4.788883209228516,-5.639999866485596
2102,-4.344323635101318,-5.380000114440918
2103,-4.3994293212890625,-5.739999771118164
2104,-4.520015239715576,-5.679999828338623
