ID,pred,exp
33,-5.132329885164896,-5.480000019073486
40,-5.149433294932048,-6.440000057220459
41,-5.254567368825277,-7.050000190734863
926,-7.85143457253774,-8.0
927,-7.6871040980021155,-6.400000095367432
1008,-5.379369775454204,-4.699999809265137
1009,-5.34986351331075,-5.690000057220459
1010,-5.356831558545431,-5.949999809265137
1011,-5.356067188580831,-6.260000228881836
1012,-5.351256736119589,-6.360000133514404
1013,-5.348077050844828,-6.420000076293945
1014,-5.344100157419841,-4.630000114440918
1015,-5.357863068580627,-5.670000076293945
1016,-5.352855483690898,-4.789999961853027
1885,-6.493288516998291,-6.079999923706055
1886,-6.489906517664592,-5.800000190734863
1887,-6.839993023872376,-6.239999771118164
1888,-6.686365787188212,-6.960000038146973
1889,-7.254885450998942,-8.0
1890,-6.416570878028869,-6.179999828338623
1892,-6.190110953648885,-5.980000019073486
1893,-6.40032692750295,-6.239999771118164
1894,-6.13268981774648,-5.71999979019165
1896,-7.668039353688558,-5.360000133514404
1897,-7.819954903920491,-5.590000152587891
1898,-7.6335925738016766,-5.630000114440918
1899,-5.4840278148651125,-5.409999847412109
1900,-5.482190211613973,-5.340000152587891
1901,-5.484662262598674,-5.420000076293945
1902,-5.486080559094747,-5.400000095367432
1903,-5.4853971401850385,-5.579999923706055
1904,-4.588155444463094,-6.820000171661377
1905,-4.111933732032776,-7.150000095367432
1906,-4.541766222318014,-6.920000076293945
1907,-4.36948930422465,-6.849999904632568
1908,-4.572896464665731,-7.139999866485596
1909,-4.588438924153646,-7.0
1910,-4.0,-6.920000076293945
1911,-4.36363468170166,-6.920000076293945
1912,-4.0,-7.679999828338623
1913,-4.0,-8.0
1914,-4.0,-8.0
1915,-4.0,-7.03000020980835
1916,-4.0,-6.889999866485596
1917,-4.0,-7.0
1918,-4.0,-6.820000171661377
1919,-4.0,-7.21999979019165
1920,-4.0,-7.050000190734863
1921,-4.258970149358114,-7.21999979019165
1922,-4.546526543299357,-7.0
1923,-4.0,-6.849999904632568
1924,-4.014880808194478,-6.769999980926514
1925,-4.4314297040303545,-6.960000038146973
1926,-5.047307538986206,-6.889999866485596
1927,-5.1168015718460085,-5.960000038146973
1928,-4.919871091842651,-7.03000020980835
1929,-5.191961606343587,-7.599999904632568
1930,-5.143035586675008,-6.550000190734863
1931,-5.308207352956136,-6.440000057220459
1932,-5.908044083913167,-6.769999980926514
1933,-5.189698036511739,-6.059999942779541
1934,-5.4605900049209595,-8.0
1935,-5.168386658032735,-6.539999961853027
1936,-5.9789764006932575,-6.800000190734863
1937,-5.106293900807699,-6.960000038146973
1939,-4.381479573249817,-6.769999980926514
