ID,pred,exp
24,-6.584465511639913,-6.300000190734863
26,-6.291200725237529,-5.389999866485596
27,-5.76465794245402,-5.460000038146973
28,-5.916693417231242,-5.210000038146973
29,-5.532317519187927,-5.71999979019165
31,-5.372597138086955,-6.119999885559082
33,-5.689339025815328,-5.644999980926514
34,-5.500859220822652,-5.329999923706055
35,-6.1242612361907955,-5.489999771118164
37,-5.438615091641744,-5.889999866485596
38,-5.743532077471415,-5.239999771118164
39,-6.847072927157084,-6.659999847412109
40,-5.315832734107971,-6.390000104904175
41,-5.366696302096049,-6.805000066757202
42,-5.300229676564535,-6.630000114440918
44,-5.274567556381226,-6.150000095367432
45,-6.009419473012288,-5.840000152587891
46,-5.381924819946289,-5.920000076293945
47,-5.52282748222351,-6.199999809265137
928,-5.5578409353892,-6.21999979019165
1032,-5.726577075322469,-5.260000228881836
1033,-5.591657082239787,-5.130000114440918
1034,-5.223634831110636,-5.510000228881836
1035,-5.511065522829692,-5.199999809265137
1036,-5.969353501001994,-5.599999904632568
1037,-5.89218791325887,-5.139999866485596
1038,-5.398274811108907,-5.440000057220459
1039,-6.9878978331883745,-5.539999961853027
1040,-5.694030380249023,-6.400000095367432
1041,-5.477520243326823,-4.739999771118164
1042,-6.253535095850626,-6.0
1043,-6.396178897221883,-5.090000152587891
1044,-6.054357067743937,-5.039999961853027
1848,-6.470165657997131,-6.050000190734863
1849,-6.452633436520895,-5.920000076293945
1850,-6.211988735198974,-5.739999771118164
1851,-6.165398629506429,-6.150000095367432
1852,-6.228867411613464,-5.320000171661377
1853,-6.2153103113174435,-5.400000095367432
1854,-6.342041691144307,-5.179999828338623
1855,-6.204738012949625,-5.28000020980835
1856,-6.294660194714864,-5.119999885559082
1857,-6.569637060165405,-5.420000076293945
1858,-6.168757653236389,-5.079999923706055
1859,-6.141929546991984,-5.210000038146973
1860,-7.426321887969971,-5.570000171661377
1861,-5.855106282234192,-5.400000095367432
