ID,pred,exp
1107,-4.646303391456604,-4.610000133514404
1109,-7.6070231914520265,-6.119999885559082
1110,-5.929794899622599,-4.730000019073486
1112,-7.991697899500529,-6.170000076293945
1113,-5.250478092829386,-5.820000171661377
1117,-5.3157037178675335,-5.650000095367432
1118,-4.687387212117513,-5.349999904632568
1120,-6.330218394597371,-6.300000190734863
1121,-5.587316958109538,-6.199999809265137
1840,-5.657651352882385,-4.480000019073486
1841,-5.484571631749471,-4.409999847412109
1842,-5.649718546867371,-4.400000095367432
1843,-5.5686006863911945,-4.400000095367432
1844,-5.656051611900329,-5.099999904632568
1845,-5.485975837707519,-4.960000038146973
1846,-5.6526145219802855,-4.820000171661377
1847,-5.5666039943695065,-4.739999771118164
